"","end_sta_no","start_sta_no","start.station.name","lat.ss","long.ss","n.trips","n.trips.ss.es","end.station.name","lat.es","long.es"
"1","1",1,"West St & Chambers St",40.71754834,-74.01322069,48135,7306,"West St & Chambers St",40.71754834,-74.01322069
"2","1",42,"E 7 St & Avenue A",40.72621788,-73.98379855,18554,158,"West St & Chambers St",40.71754834,-74.01322069
"3","1",43,"Vesey Pl & River Terrace",40.7153379,-74.01658354,17028,1435,"West St & Chambers St",40.71754834,-74.01322069
"4","1",21,"Lafayette St & E 8 St",40.7302066052995,-73.9910262823105,20485,320,"West St & Chambers St",40.71754834,-74.01322069
"5","1",6,"Christopher St & Greenwich St",40.73291553,-74.00711384,35886,2643,"West St & Chambers St",40.71754834,-74.01322069
"6","1",45,"2 Ave & E 31 St",40.74290902,-73.97706058,18692,145,"West St & Chambers St",40.71754834,-74.01322069
"7","1",32,"1 Ave & E 16 St",40.73221853,-73.98165557,14855,136,"West St & Chambers St",40.71754834,-74.01322069
"8","1",35,"W 4 St & 7 Ave S",40.73401143,-74.00293877,25829,1193,"West St & Chambers St",40.71754834,-74.01322069
"9","1",49,"W 31 St & 7 Ave",40.749156,-73.9916,12022,123,"West St & Chambers St",40.71754834,-74.01322069
"10","1",27,"W 22 St & 10 Ave",40.74691959,-74.00451887,29748,1146,"West St & Chambers St",40.71754834,-74.01322069
"11","1",40,"Cooper Square & Astor Pl",40.7295149622495,-73.990752696991,14510,275,"West St & Chambers St",40.71754834,-74.01322069
"12","1",12,"E 13 St & Avenue A",40.7296672939298,-73.9806796610355,28962,365,"West St & Chambers St",40.71754834,-74.01322069
"13","1",44,"11 Ave & W 41 St",40.76030096,-73.99884222,27628,1206,"West St & Chambers St",40.71754834,-74.01322069
"14","1",26,"Central Park West & W 72 St",40.7757937668367,-73.9762057363987,21763,133,"West St & Chambers St",40.71754834,-74.01322069
"15","1",28,"E 10 St & Avenue A",40.72740794,-73.98142006,22236,326,"West St & Chambers St",40.71754834,-74.01322069
"16","1",2,"12 Ave & W 40 St",40.76087502,-74.00277668,49633,7583,"West St & Chambers St",40.71754834,-74.01322069
"17","1",16,"Carmine St & 6 Ave",40.73038599,-74.00214988,28355,1317,"West St & Chambers St",40.71754834,-74.01322069
